"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-01",,,,,"0.00","0.0","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-02",,,,,"0.00","0.0","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-03",,,,,"0.01","0.0","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-04",,,,,"0.40","0.0","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-05",,,,,"0.35","0.0","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-06",,,,,"0.00","0.0","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-07",,,,,"0.00","0.0","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-08",,,,,"0.00","0.0","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-09",,,,,"0.00","0.0","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-10",,,,,"0.00","0.0","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-11",,,,,"0.00","0.0","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-12",,,,,"0.00","0.5","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-13",,,,,"0.01","0.0","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-14",,,,,"0.06","2.5","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-15",,,,,"0.09","3.2","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-16",,,,,"0.00","0.0","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-17",,,,,"0.00","0.0","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-18",,,,,"0.56","0.8","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-19",,,,,"0.00","0.0","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-20",,,,,"0.00","0.0","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-21",,,,,"0.00","0.0","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-22",,,,,"0.00","0.0","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-23",,,,,"0.00","0.0","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-24",,,,,"0.00","0.0","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-25",,,,,"0.00","0.0","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-26",,,,,"0.00","0.0","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-27",,,,,"0.47","6.0","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-28",,,,,"0.18","4.3","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-29",,,,,"0.00","0.0","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-30",,,,,"0.00","0.0","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01-31",,,,,"0.00","0.0","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-02-01",,,,,"0.00","0.0","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-02-02",,,,,"0.00","0.0","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-02-03",,,,,"0.96","0.0","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-02-04",,,,,"0.00","0.0","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-02-05",,,,,"0.00","0.0","30"
