"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-01",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-02",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-03",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-04",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-05",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-06",,,,,"0.05","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-07",,,,,"1.36","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-08",,,,,"0.04","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-09",,,,,"0.01","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-10",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-11",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-12",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-13",,,,,"0.04","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-14",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-15",,,,,"0.56","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-16",,,,,"0.28","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-17",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-18",,,,,"0.06","0.5",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-19",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-20",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-21",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-22",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-23",,,,,"2.55","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-24",,,,,"0.18","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-25",,,,,"0.06","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-26",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-27",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-28",,,,,"0.01","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-29",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-30",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01-31",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-01",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-02",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-03",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-04",,,,,"0.29","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-05",,,,,"1.07","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-06",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-07",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-08",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-09",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-10",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-11",,,,,"0.64","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-12",,,,,"0.36","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-13",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-14",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-15",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-16",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-17",,,,,"1.27","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-18",,,,,"0.65","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-19",,,,,"0.15","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-20",,,,,"0.10","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-21",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-22",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-23",,,,,"0.41","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-24",,,,,"0.78","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-25",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-26",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-27",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02-28",,,,,"0.09","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-01",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-02",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-03",,,,,"0.01","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-04",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-05",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-06",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-07",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-08",,,,,"0.50","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-09",,,,,"1.82","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-10",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-11",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-12",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-13",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-14",,,,,"0.21","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-15",,,,,"0.00","0.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03-16",,,,,"0.00","0.0",
