"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-01",,,,,"0.00","0.0","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-02",,,,,"0.00","0.0","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-03",,,,,"0.00","0.0","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-04",,,,,"0.00","0.0","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-05",,,,,"0.19","1.8","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-06",,,,,"0.00","0.0","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-07",,,,,"0.00","0.0","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-08",,,,,"0.32","0.0","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-09",,,,,"0.00","0.0","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-10",,,,,"0.00","0.0","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-11",,,,,"0.00","0.0","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-12",,,,,"0.00","0.0","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-13",,,,,"0.00","0.0","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-14",,,,,"0.00","0.0","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-15",,,,,"0.28","0.0","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-16",,,,,"0.00","0.0","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-17",,,,,"0.00","0.0","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-18",,,,,"0.03","0.0","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-19",,,,,"0.83","0.0","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-20",,,,,"0.24","0.0","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-21",,,,,"0.46","6.0","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-22",,,,,"0.00","0.0","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-23",,,,,"0.00","0.0","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01-24",,,,,"0.00","0.0","37"
