"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-01",,,,,,"0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-02",,,,,,"0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-03",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-04",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-05",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-06",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-07",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-08",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-09",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-10",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-11",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-12",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-13",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-14",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-15",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-16",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-17",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-18",,,,,"0.00","0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-19",,,,,,"0.0",
"US1NJUN0026","CRANFORD TWP 0.5 NW, NJ US","2016-09-20",,,,,"0.90",,
