DATE,Month,PRCP,TMAX,TMIN,AWND,TDIFF,WSF2,WSF5,intense,count of dry days,count of wet days
2016-12-15,12,0.0005952380952380953,37.0,20.285714285714285,17.8125,16.714285714285715,32.9125,44.5125,0,0,5
2016-12-16,12,0.0001234567901234568,29.0,16.071428571428573,9.338750000000001,12.928571428571427,19.4875,26.0375,0,0,6
2016-12-17,12,0.3759090909090909,35.23076923076923,22.23076923076923,4.69875,13.000000000000004,13.787500000000001,19.5,0,0,7
2016-12-18,12,0.3640277777777778,54.0,28.384615384615383,10.205,25.615384615384617,31.1125,41.9125,0,0,8
2016-12-19,12,0.028591549295774645,41.30769230769231,22.384615384615383,9.61875,18.923076923076923,18.25,23.9875,0,0,9
2016-12-20,12,0.0,31.928571428571427,16.642857142857142,4.64125,15.285714285714285,13.5125,17.8875,0,1,0
2016-12-21,12,0.00012195121951219512,37.46153846153846,23.076923076923077,5.08875,14.384615384615383,13.4,17.6125,0,0,1
2016-12-22,12,0.0005813953488372093,45.0,28.785714285714285,9.03125,16.214285714285715,24.0,33.025,0,0,2
2016-12-23,12,0.0,47.07692307692308,33.23076923076923,7.80125,13.846153846153847,18.225,24.575,0,1,0
2016-12-24,12,0.18481927710843374,46.46153846153846,35.0,7.215,11.46153846153846,16.4125,22.075,0,0,1
2016-12-25,12,0.3103614457831326,48.38461538461539,33.53846153846154,7.6325,14.846153846153847,16.525,21.7125,0,0,2
2016-12-26,12,0.0017105263157894738,48.61538461538461,29.46153846153846,6.85125,19.153846153846153,14.55,19.6375,0,0,3
2016-12-27,12,0.011807228915662651,58.53846153846154,35.53846153846154,11.38125,23.0,23.95,32.9125,0,0,4
2016-12-28,12,0.001139240506329114,48.15384615384615,30.76923076923077,8.4725,17.384615384615383,19.6125,25.3875,0,0,5
2016-12-29,12,0.05963414634146341,45.15384615384615,28.23076923076923,7.745,16.923076923076923,18.75,26.3,0,0,6
2016-12-30,12,0.3675581395348837,41.84615384615385,31.384615384615383,12.807500000000001,10.461538461538463,24.875,33.075,0,0,7
2016-12-31,12,0.0035443037974683548,42.69230769230769,28.923076923076923,11.436250000000001,13.76923076923077,23.85,32.2625,0,0,8
2017-01-01,1,0.000963855421686747,47.30769230769231,31.23076923076923,7.6075,16.076923076923077,19.275,26.0125,0,0,9
2017-01-02,1,0.045476190476190476,43.357142857142854,32.53846153846154,8.08125,10.818681318681314,14.6625,19.5125,0,0,10
2017-01-03,1,0.3748314606741573,42.84615384615385,37.30769230769231,11.26875,5.53846153846154,20.225,27.925,0,0,11
2017-01-04,1,0.4423076923076923,49.23076923076923,34.69230769230769,12.30375,14.53846153846154,26.15,38.4625,0,0,12
2017-01-05,1,0.000853658536585366,40.92857142857143,25.928571428571427,11.631250000000001,15.000000000000004,22.5375,30.15,0,0,13
2017-01-06,1,0.03933333333333334,32.857142857142854,25.071428571428573,7.07375,7.785714285714281,14.3,19.15,0,0,14
2017-01-07,1,0.034556962025316454,28.428571428571427,19.384615384615383,11.605,9.043956043956044,20.7375,27.55,0,0,15
2017-01-08,1,0.26786666666666664,24.846153846153847,15.076923076923077,13.89625,9.76923076923077,25.275,34.775,0,0,16
2017-01-09,1,0.009459459459459458,23.692307692307693,8.357142857142858,6.48625,15.335164835164836,15.912500000000001,21.85,0,0,17
2017-01-10,1,0.0,38.23076923076923,12.76923076923077,4.86625,25.461538461538463,16.700000000000003,22.825,0,1,0
2017-01-11,1,0.2790243902439024,48.714285714285715,31.142857142857142,8.1375,17.571428571428573,20.1125,29.5125,0,0,1
2017-01-12,1,0.29310344827586204,59.53846153846154,44.30769230769231,9.50875,15.230769230769234,18.525,25.95,0,0,2
2017-01-13,1,0.007195121951219512,61.57142857142857,36.142857142857146,12.97625,25.428571428571423,24.0875,32.5125,0,0,3
2017-01-14,1,0.014250000000000002,39.23076923076923,26.923076923076923,4.725,12.30769230769231,12.0625,14.6875,0,0,4
2017-01-15,1,0.07347222222222222,37.38461538461539,26.384615384615383,6.123749999999999,11.000000000000004,13.9125,18.5,0,0,5
2017-01-16,1,0.009871794871794872,41.46153846153846,24.0,4.95,17.46153846153846,12.4,16.1625,0,0,6
2017-01-17,1,0.0655263157894737,41.84615384615385,32.69230769230769,5.56375,9.153846153846153,14.4375,18.775,0,0,7
2017-01-18,1,0.47802197802197804,41.69230769230769,37.53846153846154,7.57875,4.153846153846153,15.075,19.8375,0,0,8
2017-01-19,1,0.011219512195121953,46.69230769230769,34.76923076923077,5.48,11.923076923076927,15.05,20.125,0,0,9
2017-01-20,1,0.01888888888888889,46.23076923076923,36.92857142857143,4.195,9.302197802197803,9.95,14.575,0,0,10
2017-01-21,1,0.09072289156626506,47.84615384615385,39.92307692307692,5.67625,7.923076923076927,12.5625,16.1875,0,0,11
2017-01-22,1,0.00475,50.857142857142854,42.46153846153846,7.605,8.395604395604394,24.6,34.4,0,0,12
2017-01-23,1,0.17348837209302326,46.23076923076923,37.76923076923077,20.24375,8.461538461538467,32.1125,45.9125,0,0,13
2017-01-24,1,1.3394565217391305,40.30769230769231,35.69230769230769,15.2675,4.615384615384613,27.825,39.0125,1,0,14
2017-01-25,1,0.4002197802197802,46.69230769230769,36.07692307692308,11.435,10.615384615384613,25.3,34.125,0,0,15
2017-01-26,1,0.007126436781609196,52.92307692307692,40.23076923076923,10.82125,12.692307692307686,30.275,40.325,0,0,16
2017-01-27,1,0.022758620689655173,48.0,36.53846153846154,14.28875,11.46153846153846,24.475,35.0,0,0,17
2017-01-28,1,0.00012658227848101267,40.46153846153846,33.30769230769231,11.8275,7.153846153846153,21.4,28.675,0,0,18
2017-01-29,1,0.0,42.30769230769231,30.307692307692307,8.13625,12.0,20.8375,26.6375,0,1,0
2017-01-30,1,0.0,39.857142857142854,27.785714285714285,9.00375,12.07142857142857,19.4125,25.6125,0,2,0
2017-01-31,1,0.006666666666666667,34.25,24.75,4.725,9.5,12.9375,18.0,0,0,1
2017-02-01,2,0.04975609756097561,42.357142857142854,26.428571428571427,9.145,15.928571428571427,22.0625,29.7875,0,0,2
2017-02-02,2,0.00022727272727272727,45.92307692307692,29.76923076923077,8.97625,16.15384615384615,23.775,31.6875,0,0,3
2017-02-03,2,0.00011363636363636364,37.76923076923077,24.153846153846153,10.15,13.615384615384613,23.0125,32.3,0,0,4
2017-02-04,2,0.0,34.23076923076923,20.923076923076923,11.52125,13.30769230769231,23.525,32.625,0,1,0
2017-02-05,2,0.0,39.46153846153846,27.0,8.725,12.46153846153846,18.175,25.125,0,2,0
2017-02-06,2,0.0,45.642857142857146,32.53846153846154,8.807500000000001,13.104395604395606,21.725,29.8875,0,3,0
2017-02-07,2,0.07079545454545455,43.857142857142854,32.92857142857143,7.1575,10.928571428571423,15.9125,20.375,0,0,1
2017-02-08,2,0.18304347826086956,54.0,36.30769230769231,6.9075,17.692307692307693,17.3875,22.0875,0,0,2
2017-02-09,2,0.44441176470588234,48.857142857142854,21.46153846153846,18.03375,27.395604395604394,31.4,44.15,0,0,3
